type,name,size,rent_amount,facilities,location
Pavilion,P1,4x4,88000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P2,3x4,66000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P3,3x4,66000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P4,3x4,66000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P5,4x4,88000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P6,6x4,132000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P7,4x4,88000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P8,3x4,66000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P9,3x4,66000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P10,4x4,88000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P11,3x4,66000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P12,4x4,88000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P13,4x4,88000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P14,4x4,88000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P15,4x4,88000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P16,4x4,88000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P17,4x4,88000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P18,3x4,66000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Pavilion,P19,9x6/2x4,100000,"Electricity, 2 Table, 1 Chair",Akshaya Nagar
Stall,S1,2x3,45000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Stall,S2,2x3,45000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Stall,S3,2x3,45000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Stall,S4,2x3,45000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Stall,S5,2x4,45000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Stall,S6,2x3,45000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Stall,S7,2x3,45000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Stall,S8,2x3,45000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Special,SP1,9ftx9ft,42000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Special,SP2,9ftx9ft,45000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Special,SP3,9ftx9ft,42000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O1,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O2,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O3,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O4,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O5,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O6,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O7,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O8,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O9,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O10,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O11,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O12,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O13,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O14,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
Booth,O15,4x4,100000,"Electricity, 1 Table, 1 Chair",Akshaya Nagar
